Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.70341E-3,55.987814795,0.643098484,0.002598181,0.555555556,0
7.01409E-3,56.689224126,0.653428277,0.002498251,0.555555556,0
7.05916E-3,57.395139975,0.654877187,0.002398321,0.555555556,0
7.61771E-3,58.156910589,0.671879221,0.002298391,0.555555556,0
7.84069E-3,58.940979248,0.678207844,0.002198461,0.666666667,0
7.85966E-3,59.726944754,0.678734958,0.002098531,0.666666667,0
8.92444E-3,60.619388919,0.705788204,0.001998601,0.666666667,0
8.93059E-3,61.51244838,0.7059313,0.001898671,0.666666667,0
8.9672E-3,62.409168225,0.706779704,0.001798741,0.666666667,0
9.6295E-3,63.372118276,0.721326873,0.001698811,0.666666667,0
9.95034E-3,64.367152176,0.727867145,0.001598881,0.666666667,0
1.03395E-2,65.401104984,0.735400086,0.001498951,0.777777778,0
1.05754E-2,66.458649082,0.739766628,0.001399021,0.777777778,0
1.12399E-2,67.582643279,0.751325695,0.001299091,0.777777778,0
1.17455E-2,68.757188636,0.759453882,0.001199161,0.777777778,0
1.24125E-2,69.998437074,0.769399631,0.001099231,0.777777778,0
1.27795E-2,71.27638377,0.774528601,0.0009993,0.777777778,0
1.30602E-2,72.582405394,0.77830091,0.00089937,0.888888889,0
1.39592E-2,73.978322985,0.789573847,0.00079944,1,0
1.5172E-2,75.495525007,0.8030828,0.00069951,1,0
1.59976E-2,77.095280295,0.811327226,0.00059958,1,0
2.16582E-2,79.26109975,0.853410613,0.00049965,1,0
2.98165E-2,82.242751869,0.889070747,0.00039972,1,0
3.37799E-2,85.620743445,0.90079488,0.00029979,1,0
5.05235E-2,90.673097417,0.931416904,0.00019986,1,0
9.3269E-2,100,0.961643124,0.00009993,1,0
